table,block
catalog_returns,0
catalog_returns,10462
catalog_returns,10467
catalog_returns,10471
catalog_returns,10493
catalog_returns,10498
catalog_returns,10517
catalog_returns,10532
catalog_returns,10536
catalog_returns,10549
catalog_returns,10562
catalog_returns,10566
catalog_returns,10569
catalog_returns,10574
catalog_returns,10575
catalog_returns,10578
catalog_returns,10581
catalog_returns,10586
catalog_returns,10601
catalog_returns,10602
catalog_returns,10603
catalog_returns,10607
catalog_returns,10609
catalog_returns,10610
catalog_returns,10620
catalog_returns,10621
catalog_returns,10625
catalog_returns,10633
catalog_returns,10635
catalog_returns,10642
catalog_returns,10644
catalog_returns,10645
catalog_returns,10651
catalog_returns,10657
catalog_returns,10661
catalog_returns,10667
catalog_returns,10668
catalog_returns,10669
catalog_returns,10671
catalog_returns,10678
catalog_returns,10679
catalog_returns,10684
catalog_returns,10687
catalog_returns,10691
catalog_returns,10694
catalog_returns,10704
catalog_returns,10707
catalog_returns,10709
catalog_returns,10710
catalog_returns,10711
catalog_returns,10720
catalog_returns,10729
catalog_returns,10730
catalog_returns,10732
catalog_returns,10733
catalog_returns,10734
catalog_returns,10742
catalog_returns,10743
catalog_returns,10745
catalog_returns,10751
catalog_returns,10753
catalog_returns,10754
catalog_returns,10757
catalog_returns,10763
catalog_returns,10764
catalog_returns,10770
catalog_returns,10771
catalog_returns,10774
catalog_returns,10779
catalog_returns,10780
catalog_returns,10781
catalog_returns,10782
catalog_returns,10791
catalog_returns,10792
catalog_returns,10793
catalog_returns,10795
catalog_returns,10800
catalog_returns,10802
catalog_returns,10804
catalog_returns,10809
catalog_returns,10814
catalog_returns,10815
catalog_returns,10817
catalog_returns,10820
catalog_returns,10823
catalog_returns,10825
catalog_returns,10826
catalog_returns,10829
catalog_returns,10830
catalog_returns,10835
catalog_returns,10840
catalog_returns,10847
catalog_returns,10848
catalog_returns,10849
catalog_returns,10850
catalog_returns,10851
catalog_returns,10853
catalog_returns,10856
catalog_returns,10863
catalog_returns,10864
catalog_returns,10866
catalog_returns,10867
catalog_returns,10872
catalog_returns,10879
catalog_returns,10883
catalog_returns,10886
catalog_returns,10888
catalog_returns,10892
catalog_returns,10895
catalog_returns,10899
catalog_returns,10910
catalog_returns,10912
catalog_returns,10914
catalog_returns,10915
catalog_returns,10916
catalog_returns,10917
catalog_returns,10918
catalog_returns,10921
catalog_returns,10922
catalog_returns,10923
catalog_returns,10925
catalog_returns,10929
catalog_returns,10930
